# Метеостанция Санкт-Петербург, Россия, WMO_ID=26063, выборка с 01.05.2021 по 01.06.2021, все дни;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Кодировка: UTF-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"# Информация предоставлена сайтом ""Расписание Погоды"", rp5.ru";;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=26063&lang=ru;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Местное время в Санкт-Петербурге;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
01.06.2021 18:00;19,1;768,7;769,0;0,3;38;Ветер, дующий с востоко-северо-востока;1;;;20–30%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;4,5;Осадков нет;12;;;;
01.06.2021 15:00;18,8;768,4;768,8;0,3;38;Ветер, дующий с северо-северо-востока;1;;;50%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;50%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;4,3;;;;;;
01.06.2021 12:00;17,6;768,1;768,4;0,6;40;Ветер, дующий с севера;1;;;40%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;3,9;;;;;;
01.06.2021 09:00;15,5;767,5;767,8;1,2;53;Ветер, дующий с востока;1;;;Облаков нет.; ;;;8,4;;;;;;;10,0;5,9;Осадков нет;12;Поверхность почвы влажная.;6,0;;
01.06.2021 06:00;9,8;766,3;766,7;0,9;82;Штиль, безветрие;0;;;20–30%.; ;;;8,4;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;6,8;Следы осадков;12;;;;
01.06.2021 03:00;9,9;765,4;765,8;0,6;80;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;6,5;;;;;;
01.06.2021 00:00;11,8;764,8;765,2;0,4;66;Ветер, дующий с востока;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;5,7;;;;;;
31.05.2021 21:00;11,8;764,4;764,8;-0,2;69;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;;15,4;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;10,0;6,2;Следы осадков;12;;;;
31.05.2021 18:00;13,2;764,6;765,0;-0,2;57;Ветер, дующий с северо-северо-запада;2;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;10,0;4,7;Осадков нет;12;;;;
31.05.2021 15:00;15,2;764,8;765,1;-1,2;44;Ветер, дующий с северо-запада;2;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;;10,0;2,8;;;;;;
31.05.2021 12:00;15,5;766,0;766,3;-1,2;40;Ветер, дующий с запада;1;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;10,0;2,0;;;;;;
31.05.2021 09:00;12,7;767,2;767,5;-0,9;45;Ветер, дующий с юго-запада;2;;;20–30%.; ;;;7,0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;0,9;Осадков нет;12;Поверхность почвы сухая (без трещин и без заметного количества пыли или несвязанного песка).;2,0;;
31.05.2021 06:00;8,2;768,1;768,5;-0,5;55;Ветер, дующий с юга;1;;;Облаков нет.; ;;;7,0;;;;;;;10,0;-0,3;Осадков нет;12;;;;
31.05.2021 03:00;8,5;768,6;769,0;-0,1;49;Ветер, дующий с юга;1;;;Облаков нет.; ;;;;;;;;;;10,0;-1,6;;;;;;
31.05.2021 00:00;8,3;768,7;769,1;-0,2;61;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;10,0;1,2;;;;;;
30.05.2021 21:00;11,8;768,9;769,3;0,0;42;Штиль, безветрие;0;;;Облаков нет.; ;;;;15,3;;;;;;10,0;-0,8;Осадков нет;12;;;;
